,fdc_id,data_type,description,food_category_id,protein_value,fat_value,carbohydrate_value
202,167901,sr_legacy_food,"Pork, fresh, loin, sirloin (chops or roasts), boneless, separable lean only, raw",,4.27,9.02,3.87
203,167902,sr_legacy_food,"Pork, fresh, ground, raw",,4.27,9.02,3.87
204,167903,sr_legacy_food,"Pork, fresh, ground, cooked",,4.27,9.02,3.87
205,167904,sr_legacy_food,"Pork, fresh, loin, tenderloin, separable lean and fat, cooked, broiled",,4.27,9.02,3.87
206,167905,sr_legacy_food,"Pork, fresh, loin, tenderloin, separable lean and fat, cooked, roasted",,4.27,9.02,3.87
207,167906,sr_legacy_food,"Pork, fresh, composite of trimmed retail cuts (loin and shoulder blade), separable lean and fat, cooked",,4.27,9.02,3.87
208,167907,sr_legacy_food,"Pork, fresh, composite of trimmed retail cuts (loin and shoulder blade), separable lean only, raw",,4.27,9.02,3.87
209,167908,sr_legacy_food,"Pork, fresh, composite of trimmed retail cuts (loin and shoulder blade), separable lean only, cooked",,4.27,9.02,3.87
210,167909,sr_legacy_food,"HORMEL, Cure 81 Ham",,4.0,9.0,4.0
211,167910,sr_legacy_food,"HORMEL ALWAYS TENDER, Pork Tenderloin, Teriyaki-Flavored",,4.0,9.0,4.0
212,167911,sr_legacy_food,HORMEL Canadian Style Bacon,,4.0,9.0,4.0
213,167912,sr_legacy_food,"Pork, fresh, loin, top loin (chops), boneless, separable lean only, with added solution, cooked, pan-broiled",,4.27,9.02,3.87
214,167913,sr_legacy_food,"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, with added solution, cooked, pan-broiled",,4.27,9.02,3.87
215,167914,sr_legacy_food,"Pork, cured, bacon, cooked, baked",,4.27,9.02,3.87
216,167937,sr_legacy_food,"Cake, pound, Bimbo Bakeries USA, Panque Casero, home baked style",,4.0,9.0,4.0
217,167941,sr_legacy_food,"Crackers, cheese, reduced fat",,4.0,9.0,4.0
218,167943,sr_legacy_food,"Bread, potato",,4.0,9.0,4.0
219,167946,sr_legacy_food,"SCHIFF,TIGER'S MILK BAR",,3.4,8.5,3.7
220,167947,sr_legacy_food,"Candies, TOBLERONE, milk chocolate with honey and almond nougat",,3.4,8.5,3.7
221,167948,sr_legacy_food,"Snacks, corn-based, extruded, onion-flavor",,3.5,8.8,4.2
222,167949,sr_legacy_food,"Snacks, corn-based, extruded, puffs or twists, cheese-flavor",,4.0,8.8,4.1
223,167950,sr_legacy_food,"Snacks, KRAFT, CORNNUTS, plain",,2.7,8.7,4.0
224,167951,sr_legacy_food,"Snacks, crisped rice bar, chocolate chip",,3.4,8.6,3.7
225,167952,sr_legacy_food,"Snacks, granola bars, hard, chocolate chip",,3.4,8.5,3.8
226,167954,sr_legacy_food,"Snacks, granola bars, soft, uncoated, plain",,3.5,8.6,4.0
227,167955,sr_legacy_food,"Snacks, granola bars, soft, uncoated, peanut butter",,3.5,8.4,4.0
228,167959,sr_legacy_food,"Snacks, popcorn, air-popped",,2.73,8.37,4.03
229,167960,sr_legacy_food,"Snacks, popcorn, cheese-flavor",,3.0,8.8,4.0
230,167961,sr_legacy_food,"Snacks, pork skins, plain",,4.27,9.02,3.87
231,167962,sr_legacy_food,"Snacks, potato chips, barbecue-flavor",,2.4,8.7,3.6
232,167963,sr_legacy_food,"Snacks, potato chips, sour-cream-and-onion-flavor",,3.9,8.8,3.9
233,167965,sr_legacy_food,"Snacks, pretzels, hard, whole-wheat including both salted and unsalted",,3.5,8.5,3.7
234,167966,sr_legacy_food,"Snacks, rice cracker brown rice, plain",,3.41,8.37,4.12
235,167967,sr_legacy_food,"Snacks, rice cakes, brown rice, buckwheat",,3.4,8.4,4.0
236,167969,sr_legacy_food,"Snacks, trail mix, regular, with chocolate chips, salted nuts and seeds",,3.5,8.4,3.7
237,167970,sr_legacy_food,"Snacks, tortilla chips, taco-flavor",,2.9,8.7,3.9
238,167971,sr_legacy_food,"Candies, TOOTSIE ROLL, chocolate-flavor roll",,4.0,9.0,4.0
239,167972,sr_legacy_food,"Candies, butterscotch",,4.0,9.0,4.0
